Total Run Time,600.031,Early Exit, false,,,,,
Number of Particles of Type 1,300,,,,,,,
Number of Particles of Type 2,0,,,,,,,
Number of Particles of Type 3,0,,,,,,,
Number of Particles of Type 4,0,,,,,,,
Number of Updates,,TotalTime,,,,Frame,Frame Time A,Frame Time B
1,,46.266,,,,701,0,0.063
1,,46.297,,,,702,0.016,0.031
2,,46.344,,,,703,0,0.047
2,,46.406,,,,704,0,0.062
2,,46.469,,,,705,0,0.063
1,,46.531,,,,706,0,0.062
1,,46.563,,,,707,0.015,0.032
2,,46.609,,,,708,0,0.046
2,,46.672,,,,709,0,0.063
2,,46.734,,,,710,0,0.062
1,,46.797,,,,711,0.016,0.063
1,,46.828,,,,712,0.031,0.031
1,,46.859,,,,713,0,0.031
2,,46.906,,,,714,0,0.047
2,,46.969,,,,715,0,0.063
1,,47.031,,,,716,0.016,0.062
1,,47.063,,,,717,0,0.032
